Rank,Release Group,Worldwide,Domestic,%,Foreign,%
28,Princess Mononoke,"$159,414,369","$2,375,308",1.5%,"$157,039,061",98.5%
29,The Bone Collector,"$151,493,655","$66,518,655",43.9%,"$84,975,000",56.1%
30,The General's Daughter,"$149,705,852","$102,705,852",68.6%,"$47,000,000",31.4%
31,Inspector Gadget,"$134,403,112","$97,403,112",72.5%,"$37,000,000",27.5%
32,The Talented Mr. Ripley,"$128,798,265","$81,298,265",63.1%,"$47,500,000",36.9%
33,The Thomas Crown Affair,"$124,305,181","$69,305,181",55.8%,"$55,000,000",44.2%
34,Message in a Bottle,"$118,880,016","$52,880,016",44.5%,"$66,000,000",55.5%
35,Blue Streak,"$117,758,500","$68,518,533",58.2%,"$49,239,967",41.8%
36,Anna and the King,"$113,996,937","$39,263,420",34.4%,"$74,733,517",65.6%
37,Three Kings,"$107,752,036","$60,652,036",56.3%,"$47,100,000",43.7%
38,She's All That,"$103,166,989","$63,366,989",61.4%,"$39,800,000",38.6%
39,Fight Club,"$100,853,753","$37,030,102",36.7%,"$63,823,651",63.3%
40,Any Given Sunday,"$100,230,832","$75,530,832",75.4%,"$24,700,000",24.6%
41,Bowfinger,"$98,625,775","$66,384,775",67.3%,"$32,241,000",32.7%
42,8MM,"$96,618,699","$36,663,315",37.9%,"$59,955,384",62.1%
43,Forces of Nature,"$93,900,680","$52,900,680",56.3%,"$41,000,000",43.7%
44,Deuce Bigalow: Male Gigolo,"$92,938,755","$65,538,755",70.5%,"$27,400,000",29.5%
45,Galaxy Quest,"$90,683,916","$71,583,916",78.9%,"$19,100,000",21.1%
46,Stigmata,"$89,446,268","$50,046,268",56%,"$39,400,000",44%
47,The Cider House Rules,"$88,545,092","$57,545,092",65%,"$31,000,000",35%
48,Bicentennial Man,"$87,423,861","$58,223,861",66.6%,"$29,200,000",33.4%
49,Never Been Kissed,"$84,565,230","$55,474,756",65.6%,"$29,090,474",34.4%
50,"South Park: Bigger, Longer & Uncut","$83,137,603","$52,037,603",62.6%,"$31,100,000",37.4%
51,Cruel Intentions,"$75,902,208","$38,328,567",50.5%,"$37,573,641",49.5%
52,Random Hearts,"$74,608,570","$31,502,583",42.2%,"$43,105,987",57.8%
53,The Hurricane,"$73,956,241","$50,699,241",68.6%,"$23,257,000",31.4%
54,Life,"$73,475,268","$64,016,268",87.1%,"$9,459,000",12.9%
55,All About My Mother,"$67,872,296","$8,272,296",12.2%,"$59,600,000",87.8%
56,The Messenger: The Story of Joan of Arc,"$66,976,317","$14,276,317",21.3%,"$52,700,000",78.7%
57,The 13th Warrior,"$61,698,899","$32,698,899",53%,"$29,000,000",47%
58,The Insider,"$60,289,912","$29,089,912",48.3%,"$31,200,000",51.7%
59,The Story of Us,"$58,900,031","$27,100,031",46%,"$31,800,000",54%
60,Lake Placid,"$56,870,414","$31,770,414",55.9%,"$25,100,000",44.1%
61,Varsity Blues,"$54,294,169","$52,894,169",97.4%,"$1,400,000",2.6%
62,Mickey Blue Eyes,"$54,264,342","$33,864,342",62.4%,"$20,400,000",37.6%
63,10 Things I Hate About You,"$53,478,166","$38,178,166",71.4%,"$15,300,000",28.6%
64,Magnolia,"$48,451,803","$22,455,976",46.3%,"$25,995,827",53.7%
65,"Girl, Interrupted","$48,350,205","$28,912,646",59.8%,"$19,437,559",40.2%
66,Man on the Moon,"$47,434,430","$34,607,430",73%,"$12,827,000",27%
67,For Love of the Game,"$46,112,640","$35,188,640",76.3%,"$10,924,000",23.7%
68,House on Haunted Hill,"$42,593,455","$40,846,082",95.9%,"$1,747,373",4.1%
69,Arlington Road,"$41,067,311","$24,756,177",60.3%,"$16,311,134",39.7%
70,Blast from the Past,"$40,263,020","$26,511,114",65.8%,"$13,751,906",34.2%
71,Encounter in the Third Dimension,"$38,171,557","$7,195,792",18.9%,"$30,975,765",81.1%
72,The Bachelor,"$36,911,617","$21,760,240",59%,"$15,151,377",41%
73,My Favorite Martian,"$36,850,101","$36,850,101",100%,-,-
74,Baby Geniuses,"$36,450,736","$27,250,736",74.8%,"$9,200,000",25.2%
75,Edtv,"$35,242,897","$22,431,897",63.6%,"$12,811,000",36.4%
76,October Sky,"$34,698,685","$32,570,685",93.9%,"$2,128,000",6.1%
77,The Best Man,"$34,573,780","$34,102,780",98.6%,"$471,000",1.4%
78,Instinct,"$34,105,207","$34,105,207",100%,-,-
79,Mystery Men,"$33,461,011","$29,762,011",88.9%,"$3,699,000",11.1%
80,Dogma,"$31,117,471","$30,652,890",98.5%,"$464,581",1.5%
81,Virus,"$30,652,005","$14,036,005",45.8%,"$16,616,000",54.2%
82,Superstar,"$30,636,478","$30,636,478",100%,-,-
83,Galapagos,"$29,349,172","$18,630,372",63.5%,"$10,718,800",36.5%
84,The Out-of-Towners,"$28,544,120","$28,544,120",100%,-,-
85,Go,"$28,451,622","$16,943,454",59.6%,"$11,508,168",40.4%
86,The Deep End of the Ocean,"$28,121,100","$13,898,649",49.4%,"$14,222,451",50.6%
87,The Other Sister,"$27,807,627","$27,807,627",100%,-,-
88,The Wood,"$25,059,640","$25,059,640",100%,-,-
89,The Corruptor,"$24,493,601","$15,164,492",61.9%,"$9,329,109",38.1%
90,Alien Adventure,"$24,074,680","$8,959,784",37.2%,"$15,114,896",62.8%
91,Anywhere But Here,"$23,631,929","$18,670,401",79%,"$4,961,528",21%
92,The Iron Giant,"$23,159,305","$23,159,305",100%,-,-
93,Being John Malkovich,"$23,106,667","$22,863,596",98.9%,"$243,071",1.1%
94,Snow Falling on Cedars,"$23,049,593","$14,417,593",62.6%,"$8,632,000",37.4%
95,Buena Vista Social Club,"$23,002,182","$7,002,182",30.4%,"$16,000,000",69.6%
96,Drive Me Crazy,"$22,593,409","$17,845,337",79%,"$4,748,072",21%
97,At First Sight,"$22,365,133","$22,365,133",100%,-,-
98,Muppets from Space,"$22,323,612","$16,625,807",74.5%,"$5,697,805",25.5%
99,Stir of Echoes,"$21,142,914","$21,142,914",100%,-,-
100,The Legend of 1900,"$20,965,117","$167,435",0.8%,"$20,797,682",99.2%
101,The Astronaut's Wife,"$19,598,588","$10,672,566",54.5%,"$8,926,022",45.5%
102,Doug's 1st Movie,"$19,440,089","$19,440,089",100%,-,-
103,Summer of Sam,"$19,288,130","$19,288,130",100%,-,-
104,The Thirteenth Floor,"$18,564,088","$11,916,661",64.2%,"$6,647,427",35.8%
105,An Ideal Husband,"$18,542,974","$18,542,974",100%,-,-
106,The Rage: Carrie 2,"$17,762,705","$17,762,705",100%,-,-
107,Eye of the Beholder,"$17,589,705","$16,500,786",93.8%,"$1,088,919",6.2%
108,Bringing Out the Dead,"$16,797,191","$16,797,191",100%,-,-
109,Extreme,"$16,653,175","$12,475,172",74.9%,"$4,178,003",25.1%
110,True Crime,"$16,649,768","$16,649,768",100%,-,-
111,A Midsummer Night's Dream,"$16,071,990","$16,071,990",100%,-,-
112,Election,"$14,902,041","$14,902,041",100%,-,-
113,Music of the Heart,"$14,859,394","$14,859,394",100%,-,-
114,Tea with Mussolini,"$14,401,563","$14,401,563",100%,-,-
115,In Too Deep,"$14,011,454","$14,011,454",100%,-,-
116,The Mod Squad,"$13,263,993","$13,263,993",100%,-,-
117,Angela's Ashes,"$13,042,112","$13,042,112",100%,-,-
118,The Omega Code,"$12,614,346","$12,614,346",100%,-,-
119,Black Mask,"$12,504,289","$12,504,289",100%,-,-
120,In Dreams,"$12,017,369","$12,017,369",100%,-,-
121,The King and I,"$11,993,021","$11,993,021",100%,-,-
122,Chill Factor,"$11,788,676","$11,263,966",95.5%,"$524,710",4.5%
123,The Adventures of Elmo in Grouchland,"$11,683,047","$11,683,047",100%,-,-
124,The Muse,"$11,614,954","$11,614,954",100%,-,-
125,Wing Commander,"$11,578,059","$11,578,059",100%,-,-
126,Boys Don't Cry,"$11,540,607","$11,540,607",100%,-,-
127,Cookie's Fortune,"$10,920,544","$10,920,544",100%,-,-
128,The End of the Affair,"$10,827,816","$10,827,816",100%,-,-
129,Office Space,"$10,827,810","$10,827,810",100%,-,-
130,Universal Soldier: The Return,"$10,667,893","$10,667,893",100%,-,-
131,Island of the Sharks,"$10,658,505","$10,658,505",100%,-,-
132,Drop Dead Gorgeous,"$10,571,408","$10,571,408",100%,-,-
133,Three to Tango,"$10,570,375","$10,570,375",100%,-,-
134,Bats,"$10,155,690","$10,155,690",100%,-,-
135,Brokedown Palace,"$10,115,013","$10,115,013",100%,-,-
136,Dudley Do-Right,"$9,974,410","$9,974,410",100%,-,-
137,Trippin',"$9,017,070","$9,017,070",100%,-,-
138,Teaching Mrs. Tingle,"$8,951,935","$8,951,935",100%,-,-
139,"Mystery, Alaska","$8,891,623","$8,891,623",100%,-,-
140,Play It to the Bone,"$8,678,812","$8,434,146",97.2%,"$244,666",2.8%
141,Pushing Tin,"$8,408,835","$8,408,835",100%,-,-
142,The Twin Dragons,"$8,359,717","$8,359,717",100%,-,-
143,The Love Letter,"$8,302,478","$8,302,478",100%,-,-
144,Sunshine,"$7,607,860","$5,096,267",67%,"$2,511,593",33%
145,Outside Providence,"$7,302,522","$7,302,522",100%,-,-
146,Run Lola Run,"$7,267,585","$7,267,585",100%,-,-
147,200 Cigarettes,"$6,852,450","$6,852,450",100%,-,-
148,Lost & Found,"$6,552,255","$6,552,255",100%,-,-
149,The Straight Story,"$6,416,325","$6,203,044",96.7%,"$213,281",3.3%
150,Dick,"$6,262,878","$6,262,878",100%,-,-
151,Topsy-Turvy,"$6,208,548","$6,208,548",100%,-,-
152,Foolish,"$6,033,999","$6,033,999",100%,-,-
153,Light It Up,"$5,985,690","$5,985,690",100%,-,-
154,Siegfried & Roy: The Magic Box,"$5,231,283","$5,231,283",100%,-,-
155,Jakob the Liar,"$4,956,401","$4,956,401",100%,-,-
156,Wolves,"$4,811,282","$4,811,282",100%,-,-
157,Mansfield Park,"$4,775,847","$4,775,847",100%,-,-
158,A Walk on the Moon,"$4,750,660","$4,750,660",100%,-,-
159,Mumford,"$4,555,459","$4,555,459",100%,-,-
160,Sweet and Lowdown,"$4,525,794","$4,197,015",92.7%,"$328,779",7.3%
161,Flawless,"$4,488,529","$4,488,529",100%,-,-
162,Simply Irresistible,"$4,398,989","$4,398,989",100%,-,-
163,Detroit Rock City,"$4,217,115","$4,217,115",100%,-,-
164,Gloria,"$4,197,729","$4,197,729",100%,-,-
165,Idle Hands,"$4,152,230","$4,152,230",100%,-,-
166,Le Dîner de Cons,"$4,071,548","$4,071,548",100%,-,-
167,Playing by Heart,"$3,970,078","$3,970,078",100%,-,-
168,The Winslow Boy,"$3,957,934","$3,957,934",100%,-,-
169,"Lock, Stock and Two Smoking Barrels","$3,753,929","$3,753,929",100%,-,-
170,Liberty Heights,"$3,736,868","$3,736,868",100%,-,-
171,Fifty,"$3,328,240","$3,328,240",100%,-,-
172,Elvis Gratton II: Miracle à Memphis,"$3,316,272","$3,316,272",100%,-,-
173,Train of Life,"$3,311,162","$98,687",3%,"$3,212,475",97%
174,The Limey,"$3,204,663","$3,204,663",100%,-,-
175,Jawbreaker,"$3,117,085","$3,117,085",100%,-,-
176,Love Stinks,"$2,924,635","$2,924,635",100%,-,-
177,Cradle Will Rock,"$2,903,404","$2,903,404",100%,-,-
178,eXistenZ,"$2,856,712","$2,856,712",100%,-,-
179,Autumn Tale,"$2,215,467","$2,205,339",99.5%,"$10,128",0.5%
180,A Dog of Flanders,"$2,165,637","$2,165,637",100%,-,-
181,Limbo,"$2,160,710","$2,160,710",100%,-,-
182,Trick,"$2,087,228","$2,087,228",100%,-,-
183,Ravenous,"$2,062,405","$2,062,405",100%,-,-
184,Beyond the Mat,"$2,053,648","$2,053,648",100%,-,-
185,Besieged,"$2,048,740","$2,048,740",100%,-,-
186,Wildfire: Feel the Heat,"$2,040,635","$2,040,635",100%,-,-
187,Three Seasons,"$2,021,698","$2,021,698",100%,-,-
188,Taal,"$2,020,532","$2,020,532",100%,-,-
189,Better Than Chocolate,"$2,015,406","$2,015,406",100%,-,-
190,Titus,"$2,007,290","$2,007,290",100%,-,-
191,Crazy in Alabama,"$2,005,840","$2,005,840",100%,-,-
192,We Stand United,"$2,005,094","$2,005,094",100%,-,-
193,"Happy, Texas","$1,955,933","$1,955,933",100%,-,-
194,Goodbye Lover,"$1,940,299","$1,940,299",100%,-,-
195,Tango,"$1,897,948","$1,897,948",100%,-,-
196,Holy Smoke,"$1,765,545","$1,765,545",100%,-,-
197,The Dreamlife of Angels,"$1,726,567","$1,726,567",100%,-,-
198,Romance,"$1,585,642","$1,585,642",100%,-,-
199,Asterix and Obelix vs. Caesar,"$1,541,261","$1,541,261",100%,-,-
200,Tumbleweeds,"$1,350,248","$1,350,248",100%,-,-
201,The Emperor and the Assassin,"$1,267,239","$1,267,239",100%,-,-
202,Hideous Kinky,"$1,263,279","$1,263,279",100%,-,-
203,American Movie,"$1,165,795","$1,165,795",100%,-,-
204,Get Real,"$1,152,979","$1,152,979",100%,-,-
205,The King of Masks,"$1,113,103","$1,113,103",100%,-,-
206,This Is My Father,"$1,083,975","$1,083,975",100%,-,-
207,Xiu Xiu: The Sent-Down Girl,"$1,010,933","$1,010,933",100%,-,-
208,The IMAX Nutcracker,"$1,009,291","$1,009,291",100%,-,-
209,"I Have Given My Heart Away, Darling","$1,007,446","$1,007,446",100%,-,-
210,Twin Falls Idaho,"$985,341","$985,341",100%,-,-
211,Children of Heaven,"$933,933","$933,933",100%,-,-
212,The Castle,"$877,621","$877,621",100%,-,-
213,Edge of Seventeen,"$871,759","$871,759",100%,-,-
214,Wildfire: Feel the Heat 1999 Re-release,"$858,356","$858,356",100%,-,-
215,Illuminata,"$840,134","$840,134",100%,-,-
216,Felicia's Journey,"$824,295","$824,295",100%,-,-
217,After Life,"$801,985","$801,985",100%,-,-
218,Laura Cadieux... la suite,"$777,477","$777,477",100%,-,-
219,Body Shots,"$752,122","$752,122",100%,-,-
220,Head On,"$708,334","$379,384",53.6%,"$328,950",46.4%
221,Baadshah,"$660,216","$660,216",100%,-,-
222,My Life So Far,"$635,620","$635,620",100%,-,-
223,Ride with the Devil,"$635,096","$635,096",100%,-,-
224,Grey Owl,"$632,617","$632,617",100%,-,-
225,Guinevere,"$632,283","$632,283",100%,-,-
226,The Third Man,"$618,173","$618,173",100%,-,-
227,Last Night,"$591,165","$591,165",100%,-,-
228,The Third Miracle,"$591,142","$591,142",100%,-,-
229,A Map of the World,"$544,965","$544,965",100%,-,-
230,20 Dates,"$541,636","$541,636",100%,-,-
231,Still Crazy,"$524,864","$524,864",100%,-,-
232,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.","$507,941","$507,941",100%,-,-
233,Plunkett & Macleane,"$474,900","$474,900",100%,-,-
234,Just the Ticket,"$430,404","$430,404",100%,-,-
235,Earth,"$424,798","$424,798",100%,-,-
236,The Last Days,"$421,432","$421,432",100%,-,-
237,My Son the Fanatic,"$417,683","$417,683",100%,-,-
238,The School of Flesh,"$402,668","$402,668",100%,-,-
239,Dillagi,"$401,245","$401,245",100%,-,-
240,Lucie Aubrac,"$394,079","$394,079",100%,-,-
241,Genghis Blues,"$374,550","$374,550",100%,-,-
242,Open Your Eyes,"$370,720","$370,720",100%,-,-
243,The Minus Man,"$370,668","$370,668",100%,-,-
244,The Basket,"$367,098","$367,098",100%,-,-
245,The Source: The Story of the Beats and the Beat Generation,"$362,649","$362,649",100%,-,-
246,My Name Is Joe,"$354,952","$354,952",100%,-,-
247,"Black Cat, White Cat","$351,447","$351,447",100%,-,-
248,The Children of the Marshland,"$324,006","$324,006",100%,-,-
249,Trekkies,"$318,246","$318,246",100%,-,-
250,Lovers of the Arctic Circle,"$317,422","$317,422",100%,-,-
251,Le dernier souffle,"$316,043","$316,043",100%,-,-
252,Hindustan Ki Kasam,"$310,330","$310,330",100%,-,-
253,42 Up,"$300,880","$300,880",100%,-,-
254,SLC Punk!,"$299,569","$299,569",100%,-,-
255,Simon Sez,"$292,152","$292,152",100%,-,-
256,Fervour,"$288,733","$288,733",100%,-,-
257,Dil Kya Kare,"$284,856","$284,856",100%,-,-
258,Twice Upon a Yesterday,"$279,757","$279,757",100%,-,-
259,Beefcake,"$276,259","$276,259",100%,-,-
260,Rosetta,"$266,665","$266,665",100%,-,-
261,Dancemaker,"$256,780","$256,780",100%,-,-
262,The War Zone,"$254,441","$254,441",100%,-,-
263,Dog Park,"$250,147","$250,147",100%,-,-
264,Hello Brother,"$245,034","$245,034",100%,-,-
265,The Harmonists,"$244,861","$244,861",100%,-,-
266,One Man's Hero,"$240,067","$240,067",100%,-,-
267,Babar: King of the Elephants,"$227,374","$227,374",100%,-,-
268,Show Me Love,"$219,331","$169,331",77.2%,"$50,000",22.8%
269,Hote Hote Pyar Hogaya,"$214,574","$214,574",100%,-,-
270,Revelation,"$206,755","$206,755",100%,-,-
271,Onegin,"$206,128","$206,128",100%,-,-
272,Breakfast of Champions,"$178,278","$178,278",100%,-,-
273,Sugar Town,"$178,095","$178,095",100%,-,-
274,The Loss of Sexual Innocence,"$164,022","$164,022",100%,-,-
275,Mast,"$158,928","$158,928",100%,-,-
276,Lal Baadshah,"$150,657","$150,657",100%,-,-
277,Agnes Browne,"$148,853","$148,853",100%,-,-
278,Stop Making Sense 1999 Re-release,"$146,154","$146,154",100%,-,-
279,Silsila Hai Pyar Ka,"$141,528","$141,528",100%,-,-
280,Histoires d'hiver,"$138,411","$138,411",100%,-,-
281,Endurance,"$137,124","$137,124",100%,-,-
282,Bedrooms and Hallways,"$136,049","$136,049",100%,-,-
283,Matroni et moi,"$130,572","$130,572",100%,-,-
284,Haseena Maan Jaayegi,"$123,719","$123,719",100%,-,-
285,Unconditional Love,"$115,202","$115,202",100%,-,-
286,Thicker Than Water,"$112,891","$112,891",100%,-,-
287,Perfect Blue,"$112,536","$112,536",100%,-,-
288,The 24 Hour Woman,"$109,535","$109,535",100%,-,-
289,Eternity and a Day,"$107,178","$107,178",100%,-,-
290,The Adventures of Sebastian Cole,"$100,841","$100,841",100%,-,-
291,Desert Blue,"$100,590","$100,590",100%,-,-
292,8½ 1999 Re-release,"$98,760","$98,760",100%,-,-
293,The Very Thought of You,"$98,378","$98,378",100%,-,-
294,Diamonds,"$88,428","$88,428",100%,-,-
295,Julien Donkey-Boy,"$85,400","$85,400",100%,-,-
296,Vaastav: The Reality,"$81,367","$81,367",100%,-,-
297,Virtual Sexuality,"$74,007","$74,007",100%,-,-
298,Stiff Upper Lips,"$72,482","$72,482",100%,-,-
299,Kohram,"$70,257","$70,257",100%,-,-
300,"Late August, Early September","$69,400","$69,400",100%,-,-
301,Just a Little Harmless Sex,"$66,194","$66,194",100%,-,-
302,Among Giants,"$65,748","$65,748",100%,-,-
303,Joe the King,"$60,279","$60,279",100%,-,-
304,Shiloh 2: Shiloh Season,"$58,946","$58,946",100%,-,-
305,"God Said, 'Ha!'","$55,970","$55,970",100%,-,-
306,Six Ways to Sunday,"$54,751","$54,751",100%,-,-
307,The Grandfather,"$54,468","$54,468",100%,-,-
308,Southie,"$52,819","$52,819",100%,-,-
309,Only You,"$50,785","$50,785",100%,-,-
310,Following,"$48,482","$48,482",100%,-,-
311,International Khiladi,"$47,238","$47,238",100%,-,-
312,On the Ropes,"$46,737","$46,737",100%,-,-
313,Get Bruce,"$44,337","$44,337",100%,-,-
314,Regret to Inform,"$44,204","$44,204",100%,-,-
315,Miss Julie,"$43,941","$43,941",100%,-,-
316,Dahek: A Burning Passion,"$41,284","$41,284",100%,-,-
317,B. Monkey,"$39,371","$39,371",100%,-,-
318,Whiteboyz,"$38,738","$38,738",100%,-,-
319,Man of the Century,"$34,857","$34,857",100%,-,-
320,Friends & Lovers,"$33,543","$33,543",100%,-,-
321,Beyond the Clouds,"$31,738","$31,738",100%,-,-
322,Free Enterprise,"$30,229","$30,229",100%,-,-
323,The Lovers on the Bridge,"$29,679","$29,679",100%,-,-
324,Beyond Beautiful,"$29,480","$29,480",100%,-,-
325,Best Laid Plans,"$27,816","$27,816",100%,-,-
326,Finding North,"$27,466","$27,466",100%,-,-
327,The Joyriders,"$26,999","$26,999",100%,-,-
328,Metroland,"$26,682","$26,682",100%,-,-
329,All the Little Animals,"$26,558","$26,558",100%,-,-
330,The Monster 1999 Re-release,"$22,819","$22,819",100%,-,-
331,Frogs for Snakes,"$21,589","$21,589",100%,-,-
332,New Rose Hotel,"$21,521","$21,521",100%,-,-
333,Dial M for Murder 1999 Re-release,"$18,816","$12,562",66.8%,"$6,254",33.2%
334,Clubland,"$18,529","$18,529",100%,-,-
335,Molly,"$17,650","$17,650",100%,-,-
336,The Mighty Peking Man,"$17,368","$17,368",100%,-,-
337,2by4,"$17,162","$17,162",100%,-,-
338,Spanish Fly,"$15,503","$15,503",100%,-,-
339,The Apple,"$15,207","$15,207",100%,-,-
340,"Blood, Guts, Bullets and Octane","$15,035","$15,035",100%,-,-
341,Dry Cleaning,"$14,919","$14,919",100%,-,-
342,La Cucaracha,"$14,692","$14,692",100%,-,-
343,I'm Losing You,"$13,996","$13,996",100%,-,-
344,The Winners,"$13,066","$13,066",100%,-,-
345,Dreaming of Joseph Lees,"$12,044","$12,044",100%,-,-
346,Hell's Kitchen,"$11,710","$11,710",100%,-,-
347,Tout Truffaut,"$11,206","$11,206",100%,-,-
348,The Suburbans,"$11,130","$11,130",100%,-,-
349,The Suburbans 1999 Re-release,"$11,130","$11,130",100%,-,-
350,Taxman,"$9,871","$9,871",100%,-,-
351,The Book of Life,"$9,740","$9,740",100%,-,-
352,Eight Days a Week,"$9,090","$9,090",100%,-,-
353,Tequila Body Shots,"$9,037","$9,037",100%,-,-
354,Sparkler,"$7,326","$7,326",100%,-,-
355,I Stand Alone,"$6,955","$6,955",100%,-,-
356,Speaking in Strings,"$6,859","$6,859",100%,-,-
357,Let It Come Down: The Life of Paul Bowles,"$5,869","$5,869",100%,-,-
358,Devil's Island,"$5,814","$5,814",100%,-,-
359,Knockin' on Heaven's Door,"$5,710","$5,710",100%,-,-
360,Leila,"$5,294","$5,294",100%,-,-
361,My Dinner with Andre,"$5,073","$5,073",100%,-,-
362,Nô,"$4,868","$4,868",100%,-,-
363,The Empty Mirror,"$4,688","$4,688",100%,-,-
364,Jeanne and the Perfect Guy,"$4,417","$4,417",100%,-,-
365,"A Cool, Dry Place","$4,390","$4,390",100%,-,-
366,Het ondergronds orkest,"$4,315","$4,315",100%,-,-
367,A Girl Called Rosemary,"$3,744","$3,744",100%,-,-
368,Fever Pitch,"$3,736","$3,736",100%,-,-
369,Suits,"$3,676","$3,676",100%,-,-
370,Strawberry Fields,"$3,347","$3,347",100%,-,-
371,I'm Crazy About Iris Blond,"$3,303","$3,303",100%,-,-
372,Do You Wanna Dance?,"$3,210","$3,210",100%,-,-
373,The Boys,"$3,146","$3,146",100%,-,-
374,Oxygen,"$3,088","$3,088",100%,-,-
375,Beautopia,"$2,870","$2,870",100%,-,-
376,Heaven,"$2,838","$2,838",100%,-,-
377,Telling You,"$2,735","$2,735",100%,-,-
378,The Rook,"$2,264","$2,264",100%,-,-
379,The Velocity of Gary,"$2,143","$2,143",100%,-,-
380,I Want You,"$1,672","$1,672",100%,-,-
381,The Pusher,"$1,656","$1,656",100%,-,-
382,The Sticky Fingers of Time,"$1,610","$1,610",100%,-,-
383,Summerspell,$984,$984,100%,-,-
384,The Underground Comedy Movie,$856,$856,100%,-,-
385,Port Djema,$783,$783,100%,-,-
386,Nobody,$488,$488,100%,-,-
