Rank,Release Group,Worldwide,Domestic,%,Foreign,%
206,Water 2006 Re-release,"$8,172,058","$3,278,815",40.1%,"$4,893,243",59.9%
207,Summer in Berlin,"$7,718,317","$8,340",0.1%,"$7,709,977",99.9%
208,A Scanner Darkly,"$7,659,918","$5,501,616",71.8%,"$2,158,302",28.2%
209,DOA: Dead or Alive,"$7,516,532","$480,813",6.4%,"$7,035,719",93.6%
210,Running with Scissors,"$7,460,797","$7,022,827",94.1%,"$437,970",5.9%
211,Phat Girlz,"$7,403,491","$7,061,128",95.4%,"$342,363",4.6%
212,It's a Boy Girl Thing,"$7,385,679",$848,<0.1%,"$7,384,831",100%
213,Trust the Man,"$7,353,118","$1,530,535",20.8%,"$5,822,583",79.2%
214,I Served the King of England,"$7,319,210","$617,403",8.4%,"$6,701,807",91.6%
215,Venus,"$7,261,490","$3,347,411",46.1%,"$3,914,079",53.9%
216,Golden Door,"$7,226,020","$1,070,769",14.8%,"$6,155,251",85.2%
217,Hard Candy,"$7,022,209","$1,024,640",14.6%,"$5,997,569",85.4%
218,Crossover,"$7,009,668","$7,009,668",100%,-,-
219,The Unknown Woman,"$6,868,786","$152,114",2.2%,"$6,716,672",97.8%
220,Private Fears In Public Places (Coeurs),"$6,855,294","$134,636",2%,"$6,720,658",98%
221,Kenny,"$6,732,051","$69,220",1%,"$6,662,831",99%
222,Grandma's Boy,"$6,566,277","$6,090,172",92.7%,"$476,105",7.3%
223,Copying Beethoven,"$6,191,746","$384,029",6.2%,"$5,807,717",93.8%
224,Van Wilder 2: The Rise of Taj,"$6,086,508","$4,300,645",70.7%,"$1,785,863",29.3%
225,Vitus,"$6,079,556","$187,480",3.1%,"$5,892,076",96.9%
226,Jindabyne,"$6,044,112","$400,438",6.6%,"$5,643,674",93.4%
227,Harsh Times,"$5,967,038","$3,337,931",55.9%,"$2,629,107",44.1%
228,For Your Consideration,"$5,925,637","$5,549,923",93.7%,"$375,714",6.3%
229,The Good German,"$5,914,908","$1,308,696",22.1%,"$4,606,212",77.9%
230,Catch a Fire,"$5,710,236","$4,299,773",75.3%,"$1,410,463",24.7%
231,Shortbus,"$5,526,675","$1,985,292",35.9%,"$3,541,383",64.1%
232,Severance,"$5,515,163","$137,221",2.5%,"$5,377,942",97.5%
233,Kabul Express,"$5,091,289","$302,458",5.9%,"$4,788,831",94.1%
234,Confetti,"$4,903,131","$228,498",4.7%,"$4,674,633",95.3%
235,Half Nelson,"$4,660,481","$2,697,938",57.9%,"$1,962,543",42.1%
236,Let's Go to Prison,"$4,630,045","$4,630,045",100%,-,-
237,I'm Screwed by Getting Married,"$4,423,137","$223,137",5%,"$4,200,000",95%
