Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avatar,"$2,744,336,793","$749,766,139",27.3%,"$1,994,570,654",72.7%
2,Harry Potter and the Half-Blood Prince,"$933,959,197","$301,959,197",32.3%,"$632,000,000",67.7%
3,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705",22.2%,"$690,113,112",77.8%
4,Transformers: Revenge of the Fallen,"$836,303,693","$402,111,870",48.1%,"$434,191,823",51.9%
5,2012,"$769,679,473","$166,112,167",21.6%,"$603,567,306",78.4%
6,Up,"$735,099,082","$293,004,164",39.9%,"$442,094,918",60.1%
7,The Twilight Saga: New Moon,"$709,827,462","$296,623,634",41.8%,"$413,203,828",58.2%
8,Sherlock Holmes,"$524,028,679","$209,028,679",39.9%,"$315,000,000",60.1%
9,Angels & Demons,"$485,930,816","$133,375,846",27.4%,"$352,554,970",72.6%
10,The Hangover,"$468,812,793","$277,322,503",59.2%,"$191,490,290",40.8%
11,Alvin and the Chipmunks: The Squeakquel,"$443,140,005","$219,614,612",49.6%,"$223,525,393",50.4%
12,Night at the Museum: Battle of the Smithsonian,"$413,106,170","$177,243,721",42.9%,"$235,862,449",57.1%
13,Star Trek,"$385,680,446","$257,730,019",66.8%,"$127,950,427",33.2%
14,Monsters vs. Aliens,"$381,509,870","$198,351,526",52%,"$183,158,344",48%
15,X-Men Origins: Wolverine,"$373,062,864","$179,883,157",48.2%,"$193,179,707",51.8%
16,Terminator Salvation,"$371,353,001","$125,322,469",33.7%,"$246,030,532",66.3%
17,Fast & Furious,"$360,364,265","$155,064,265",43%,"$205,300,000",57%
18,Prince of Persia: The Sands of Time,"$336,365,676","$90,759,676",27%,"$245,606,000",73%
19,A Christmas Carol,"$325,286,646","$137,855,863",42.4%,"$187,430,783",57.6%
20,Inglourious Basterds,"$321,455,689","$120,540,719",37.5%,"$200,914,970",62.5%
21,The Proposal,"$317,375,031","$163,958,031",51.7%,"$153,417,000",48.3%
22,The Blind Side,"$309,208,309","$255,959,475",82.8%,"$53,248,834",17.2%
23,G.I. Joe: The Rise of Cobra,"$302,469,017","$150,201,498",49.7%,"$152,267,519",50.3%
24,G-Force,"$292,817,841","$119,436,770",40.8%,"$173,381,071",59.2%
25,The Princess and the Frog,"$267,045,765","$104,400,899",39.1%,"$162,644,866",60.9%
26,This Is It,"$261,183,588","$72,091,016",27.6%,"$189,092,572",72.4%
27,Cloudy with a Chance of Meatballs,"$243,006,126","$124,870,275",51.4%,"$118,135,851",48.6%
28,It's Complicated,"$219,103,655","$112,735,375",51.5%,"$106,368,280",48.5%
29,Public Enemies,"$214,104,620","$97,104,620",45.4%,"$117,000,000",54.6%
30,District 9,"$210,888,950","$115,646,235",54.8%,"$95,242,715",45.2%
31,The Ugly Truth,"$205,298,907","$88,915,214",43.3%,"$116,383,693",56.7%
32,Paranormal Activity,"$193,355,800","$107,918,810",55.8%,"$85,436,990",44.2%
33,The Final Destination,"$186,167,139","$66,477,700",35.7%,"$119,689,439",64.3%
34,Watchmen,"$185,382,813","$107,509,799",58%,"$77,873,014",42%
35,Paul Blart: Mall Cop,"$183,348,429","$146,336,178",79.8%,"$37,012,251",20.2%
36,He's Just Not That Into You,"$178,866,158","$93,953,653",52.5%,"$84,912,505",47.5%
37,Couples Retreat,"$171,844,840","$109,204,945",63.5%,"$62,639,895",36.5%
38,Up in the Air,"$166,842,739","$83,823,381",50.2%,"$83,019,358",49.8%
39,Hannah Montana: The Movie,"$155,545,279","$79,576,189",51.2%,"$75,969,090",48.8%
40,The Taking of Pelham 123,"$150,166,126","$65,452,312",43.6%,"$84,713,814",56.4%
41,Brüno,"$138,805,831","$60,054,530",43.3%,"$78,751,301",56.7%
42,17 Again,"$136,316,880","$64,167,069",47.1%,"$72,149,811",52.9%
43,Julie & Julia,"$129,540,522","$94,125,426",72.7%,"$35,415,096",27.3%
44,The Fighter,"$129,190,869","$93,617,009",72.5%,"$35,573,860",27.5%
45,Law Abiding Citizen,"$127,944,208","$73,357,727",57.3%,"$54,586,481",42.7%
46,Coraline,"$124,596,837","$75,286,229",60.4%,"$49,310,608",39.6%
47,Surrogates,"$122,444,772","$38,577,772",31.5%,"$83,867,000",68.5%
48,Invictus,"$122,233,971","$37,491,364",30.7%,"$84,742,607",69.3%
49,Hotel for Dogs,"$117,252,578","$73,034,460",62.3%,"$44,218,118",37.7%
50,Bride Wars,"$115,375,850","$58,715,510",50.9%,"$56,660,340",49.1%
51,Confessions of a Shopaholic,"$108,394,089","$44,277,350",40.8%,"$64,116,739",59.2%
52,Race to Witch Mountain,"$106,387,141","$67,172,594",63.1%,"$39,214,547",36.9%
53,Planet 51,"$105,647,102","$42,194,060",39.9%,"$63,453,042",60.1%
54,The Girl with the Dragon Tattoo,"$104,414,200","$10,095,170",9.7%,"$94,319,030",90.3%
55,Zombieland,"$102,392,080","$75,590,286",73.8%,"$26,801,794",26.2%
56,Ghosts of Girlfriends Past,"$102,366,815","$55,250,026",54%,"$47,116,789",46%
57,The Time Traveler's Wife,"$101,344,412","$63,414,846",62.6%,"$37,929,566",37.4%
58,My Bloody Valentine,"$100,734,718","$51,545,952",51.2%,"$49,188,766",48.8%
59,Where the Wild Things Are,"$100,140,096","$77,233,467",77.1%,"$22,906,629",22.9%
60,Old Dogs,"$96,753,696","$49,492,060",51.2%,"$47,261,636",48.8%
61,My Sister's Keeper,"$95,714,875","$49,200,230",51.4%,"$46,514,645",48.6%
62,Green Zone,"$94,882,549","$35,053,660",36.9%,"$59,828,889",63.1%
63,The Lovely Bones,"$93,621,340","$44,114,232",47.1%,"$49,507,108",52.9%
64,Underworld: Rise of the Lycans,"$92,158,961","$45,802,315",49.7%,"$46,356,646",50.3%
65,"I Love You, Man","$91,980,359","$71,440,011",77.7%,"$20,540,348",22.3%
66,Friday the 13th,"$91,509,154","$65,002,019",71%,"$26,507,135",29%
67,Drag Me to Hell,"$90,842,646","$42,100,625",46.3%,"$48,742,021",53.7%
68,Madea Goes to Jail,"$90,508,336","$90,508,336",100%,-,-
69,State of Play,"$87,812,371","$37,017,955",42.2%,"$50,794,416",57.8%
70,Did You Hear About the Morgans?,"$85,280,250","$29,580,087",34.7%,"$55,700,163",65.3%
71,Duplicity,"$78,176,181","$40,572,825",51.9%,"$37,603,356",48.1%
72,Orphan,"$77,912,251","$41,596,251",53.4%,"$36,316,000",46.6%
73,Fame,"$77,211,836","$22,455,510",29.1%,"$54,756,326",70.9%
74,The Haunting in Connecticut 2009 Re-release,"$77,099,821","$55,389,516",71.8%,"$21,710,305",28.2%
75,The Unborn,"$76,514,050","$42,670,410",55.8%,"$33,843,640",44.2%
76,The Pink Panther 2,"$76,025,134","$35,922,978",47.3%,"$40,102,156",52.7%
77,Obsessed,"$73,830,347","$68,261,644",92.5%,"$5,568,703",7.5%
78,Funny People,"$71,585,235","$51,855,045",72.4%,"$19,730,190",27.6%
79,The Men Who Stare at Goats,"$69,095,771","$32,428,195",46.9%,"$36,667,576",53.1%
80,Land of the Lost,"$68,777,554","$49,438,370",71.9%,"$19,339,184",28.1%
81,Saw VI,"$68,234,154","$27,693,292",40.6%,"$40,540,862",59.4%
82,The Girl Who Played with Fire,"$67,153,225","$7,638,241",11.4%,"$59,514,984",88.6%
83,Precious,"$63,649,529","$47,566,524",74.7%,"$16,083,005",25.3%
84,Year One,"$62,357,900","$43,337,279",69.5%,"$19,020,621",30.5%
85,The Imaginarium of Doctor Parnassus,"$61,808,775","$7,689,607",12.4%,"$54,119,168",87.6%
86,Ninja Assassin,"$61,601,280","$38,122,883",61.9%,"$23,478,397",38.1%
87,500 Days of Summer,"$60,722,734","$32,391,374",53.3%,"$28,331,360",46.7%
88,3 Idiots,"$60,262,836","$6,532,874",10.8%,"$53,729,962",89.2%
89,The International,"$60,253,843","$25,450,527",42.2%,"$34,803,316",57.8%
90,Aliens in the Attic,"$57,881,056","$25,200,412",43.5%,"$32,680,644",56.5%
91,Under the Sea 3D,"$55,902,624","$36,262,926",64.9%,"$19,639,698",35.1%
92,Dragonball Evolution,"$55,720,772","$9,362,785",16.8%,"$46,357,987",83.2%
93,Nine,"$54,004,950","$19,676,965",36.4%,"$34,327,985",63.6%
94,I Can Do Bad All by Myself,"$51,733,921","$51,733,921",100%,-,-
95,Coco Before Chanel,"$50,812,934","$6,113,834",12%,"$44,699,100",88%
96,Push,"$48,858,618","$31,811,527",65.1%,"$17,047,091",34.9%
97,9,"$48,428,063","$31,749,894",65.6%,"$16,678,169",34.4%
